OECOL	OECOLOGY
CLASSIF	CLASSIFICATION
CLASSR	CLASSROOM
CLAYWORK	CLAYWORKER
CLEAN	CLEANER
CLEAN	CLEANING
CLEAN	CLEANSING
CLEAR	CLEAR
CLEAR	CLEARANCE
CLGH	CLEARINGHOUSE
CLEETH	CLEETHORPES
CLERIC	CLERICAL
CLEVEL	CLEVELAND
CLIM	CLIMAT
CLIMATOL	CLIMATOLOGY
CLIMB	CLIMBER
CLIN	CLINIC
CLINT	CLINTON
CLIPP	CLIPPER
CLIPP	CLIPPING
CLOCKMAK	CLOCKMAK
CLOCKW	CLOCKWISE
CLOS	CLOSURE
CLOTH	CLOTHIER
CLOTH	CLOTHING
CLOTHWORK	CLOTHWORKER
CLOTT	CLOTTING
CLUBH	CLUBHOUSE
CLUBL	CLUBLAND
CLUST	CLUSTER
COOP	COOPERATIVE
COORD	COORDINATION
COACH	COACH
COALF	COALFIELD
COAST	COASTAL
COAT	COATED
COAT	COATING
COCARCINOG	COCARCINOGEN
COERC	COERC
COEVOL	COEVOLUTION
COGENER	COGENERATION
COGN	COGNATE
COGNIZ	COGNIZ
COHES	COHESION
COIN	COINAGE
COINHUNT	COINHUNTER
COKEMAK	COKEMAKING
COLCH	COLCHESTER
COLECT	COLECTION
COLEOPT	COLEOPTER
COLEOPTEROL	COLEOPTEROLOGY
COLLAB	COLLABORATION
COLLECT	COLLECT
COLL	COLLEGE
COLL	COLLEGI
COLLID	COLLIDER
COLLIS	COLLISION
COLON	COLONI
COLO	COLORADO
COLO SPRINGS	COLORADO SPRINGS
COLOTM	COLOTOMY
COLOUR	COLOURAGE
COLOUR	COLOURING
COLOUR	COLOURIST
COLPOSC	COLPOSCOP
COLUMB	COLUMBUS
COMB	COMBINATION
COMBUST	COMBUSTION
COMER	COMERCI
COMF	COMFORT
COMMEM	COMMEMORANT
COMMEM	COMMEMORAT
COMMENC	COMMENC
COMMENT	COMMENTAR
COMMER	COMMERC
COMMIS	COMMISSAR
COMM	COMMISSION
COMMIT	COMMITMENT
COMM	COMMITTEE
COMMOD	COMMODIT
COMMON	COMMONER
COMMONW	COMMONWEALTH
COMMUN	COMMUNICATION
COMMUT	COMMUT
COMPACT	COMPACT
CO	COMPANIES
CO	COMPANY
COMP	COMPARA
COMP	COMPARE
COMP	COMPARI
COMPAT	COMPATIBIL
COMPEND	COMPEND
COMPENS	COMPENSAT
COMPET	COMPETING
COMPET	COMPETIT
COMPIL	COMPIL
COMPLAIN	COMPLAIN
COMPLET	COMPLET
COMPLEX	COMPLEXITY
COMPLICAT	COMPLICAT
COMPLIM	COMPLIMENT
COMPLIMENT	COMPLIMENTARY
COMPON	COMPONENT
COMPOS	COMPOS
COMPOST	COMPOST
COMPD	COMPOUND
COMPR	COMPREHENSIVE
COMPRESS	COMPRESSED
COMPRESS	COMPRESSOR
COMPTROL	COMPTROL
COMPULS	COMPULSIVE
COMPULS	COMPULSORY
COMPUT	COMPUTATION
COMPUTERL	COMPUTERLAND
COMPUTERV	COMPUTERVISION
COMUN	COMUNICATION
CONCEPT	CONCEPTUAL
CONCEPT	CONCEPTION
CONCERN	CONCERNING
CONCHOL	CONCHOLOGY
CONCHYLIOL	CONCHYLIOLOGY
CONCIL	CONCILIATION
CONCIL	CONCILIATOR
CONCLUS	CONCLUSION
CONCORD	CONCORDANCE
CONCR	CONCRETE
CONDENS	CONDENS
COND	CONDITION
CONDOM	CONDOMINIUM
CONDUC	CONDUCIVE
CONFECT	CONFECTION
CONFED	CONFEDERA
CONF	CONFERENCECE
CONFERR	CONFERR
CONFESS	CONFESSIONAL
CONFID	CONFIDENCE
CONFID	CONFIDENTIAL
CONFISC	CONFISCATION
CONFL	CONFLICT
CONFLU	CONFLUENCE
CONFRATERN	CONFRATERNITY
CONFRONT	CONFRONTATION
CONGENIT	CONGENITAL
CONGLOM	CONGLOMERATE
CONGREGAT	CONGREGATION
CONGR	CONGRESS
CONIFER	CONIFEROUS
CONN	CONNECTICUT
CONNECT	CONNECTION
CONNECT	CONNECTIVE
CONNECT	CONNECTOR
CONNOISS	CONNOISSEUR
CONQU	CONQUERING
CONQU	CONQUEST
CONSCIOUS	CONSCIOUSNESS
CONSID	CONSIDERATION
CONSID	CONSIDERED
CONSIST	CONSISTING
CONSOL	CONSOLIDATION
CONSOMM	CONSOMM
CONSPIR	CONSPIR
CONSTABUL	CONSTABULARY
CONSTANTIN	CONSTANTINIAN
CONSTELL	CONSTELLATION
CONST	CONSTITUTION
CONST	CONSTITUTION
CONSTR	CONSTRUCTION
CONSUL	CONSULAR
CONSULT	CONSULTATION
CONSUM	CONSUMPTION
CONTAIN	CONTAIN
CONTAM	CONTAMINA
CONTEMP	CONTEMPORY
CONTEND	CONTEND
CONT	CONTINENCE
CONT	CONTINENT
CONTING	CONTINGENCY
CONTING	CONTINGENT
CONTRACEPT	CONTRACEPTION
CONTRACEPT	CONTRACEPTIVE
CONTRACT	CONTRACT
CONTRAR	CONTRAR
CONTROL	CONTROL
CONTROV	CONTROV
CONURBAT	CONURBATION
CONVAL	CONVALESCENT
CONVECT	CONVECTION
CONVENTIONL	CONVENTIONLAND
CONVERSAT	CONVERSATION
CONVERS	CONVERSION
CONVERT	CONVERT
CONVEY	CONVEYANC
CONVICT	CONVICTION
CONVOC	CONVOCATION
COOKB	COOKBOOK
COOK	COOKERY
COOK	COOKING
COOL	COOL
COOP	COOPERA
CPH	COPENHAGEN
COPOLYM	COPOLYMER
COPP	COPPER
COPROD	COPRODUCTION
COPT	COPTIC
COPYR	COPYRIGHT
CORINTH	CORINTHIAN
CORMOR	CORMORANT
CORNEL	CORNELIAN
CORN	CORNISH
CORN	CORNWALL
CORON	CORONARY
CORP	CORPORAT
CORPOR	CORPOREAL
CORPUSC	CORPUSCULA
CORRECT	CORRECTION
CORRECT	CORRECTIVE
CORREL	CORRELATION
CORRESP	CORRESPONDING
CORROS	CORROSIVE
CORRUGAT	CORRUGATED
COSMET	COSMETI
COSMETOL	COSMETOLOGY
COSMOCHEM	COSMOCHEMISTRY
COSMOCHRONOL	COSMOCHRONOLOGY
COSMOL	COSMOLOGY
COSMOPHOB	COSMOPHOBIA
COTTAG	COTTAG
COULOM	COULOMETER
COUNC	COUNCELLING
COUNC	COUNCIL
COUNS	COUNSEL
COUNT	COUNTER
COUNTERMEAS	COUNTERMEASUR
COUNTERTR	COUNTERTRADE
CTIES	COUNTIES
COUNT	COUNTING
CTRIES	COUNTRIES
CTRY	COUNTRY
COUNTRYM	COUNTRYMAN
COUNTRYS	COUNTRYSIDE
COUNTRYW	COUNTRYWIDE
CTY	COUNTY
COUR	COURIER
COURSEW	COURSEWARE
COURT	COURT
COURTH	COURTHOUSE
COVENANT	COVENANT
COVER	COVER
CRACK	CRACKED
CRACK	CRACKING
CRAFTSM	CRAFTSMAN
CRAFTWORK	CRAFTWORK
CRANIOMANDIB	CRANIOMANDIBULAR
CREAM	CREAMERY
CREDIBIL	CREDIBILITY
CRETAC	CRETACEOUS
CRETIN	CRETINISM
CRICKET	CRICKETER
CRIME	CRIMEAN
CRIM	CRIMINAL
CRIMINOL	CRIMINOLOGY
CRIPPL	CRIPPL
CRIPTOGAM	CRIPTOGAMI
CRIT	CRITIC
CRIT	CRITICI
CROAK	CROAKER
CROAT	CROATIA
CROFT	CROFTER
CROP	CROP
CROSSBREED	CROSSBREEDING
CROSSCURR	CROSSCURRENT
CROSSLINK	CROSSLINKING
CRUCIB	CRUCIBLE
CRUEL	CRUELTY
CRUIS	CRUISING
CRUSAD	CRUSADER
CRUSAD	CRUSADING
CRUSH	CRUSHER
CRUSH	CRUSHING
CRYOBIOL	CRYOBIOLOGY
CRYOENG	CRYOENGINEER
CRYOG	CRYOGENI
CRYOPHYS	CRYOPHYSICS
CRYOPRESERV	CRYOPRESERV
CRYPTANTH	CRYPTANTHUS
CRYPTOGAM	CRYPTOGAMI
CRYPTOGR	CRYPTOGRAPHY
CRYPTOL	CRYPTOLOGY
CRYST	CRYSTAL
CRYST	CRYSTALLI
CRYSTALLOCHEM	CRYSTALLOCHEMISTRY
CRYSTALLOGR	CRYSTALLOGRAPHY
CRYST	CRYSTALS
CUBA	CUBA
CULIN	CULINARY
CULTIV	CULTIV
CULT	CULTURE
CUMBERL	CUMBERLAND
CUMUL	CUMULAT
CUNEIF	CUNEIFORM
CURATOR	CURATORIAL
CURIOSIT	CURIOSIT
CURL	CURLER
CURL	CURLING
CURMUDG	CURMUDGEON
CURR	CURRENCY
CURR	CURRENT
CURRIC	CURRICULAR
CUSTOD	CUSTODIAL
CUST	CUSTOM
CUTAN	CUTANEOUS
CUT	CUTTER
CUT	CUTTING
CYBERN	CYBERNETICS
CYCL	CYCLIC
CYCL	CYCLING
CYCL	CYCLIST
CYCLOADDIT	CYCLOADDITI
CYCLODEXT	CYCLODEXTRIN
CYCLOP	CYCLOPAEDIA
CYCLOR	CYCLORAMA
CYCLOST	CYCLOSTYLED
CYCLOTR	CYCLOTRON
CYLIND	CYLIND
CYST	CYSTIC
CYTOBIOL	CYTOBIOLOGY
CYTOCHEM	CYTOCHEM
CYTODIAGN	CYTODIAGNOS
CYTOEMBRYOL	CYTOEMBRYOLOGY
CYTOGENET	CYTOGENET
CYTOL	CYTOLOGY
CYTOM	CYTOMETER
CYTOPATHOL	CYTOPATHOLOGY
CYTOPHARMACOL	CYTOPHARMACOLOGY
CYTOPHOTOM	CYTOPHOTOMETER
CYTOPROT	CYTOPROTECT
CYTOREDUCT	CYTOREDUCTION
CYTOSKELET	CYTOSKELET
CYTOTOX	CYTOTOXICITY
CZECHOSLOV	CZECHOSLOV
DLY	DAILY
DAIRYFARM	DAIRYFARMING
DAIRY	DAIRYING
DAIRYL	DAIRYLAND
DAIRYM	DAIRYMAN
DAK	DAKOTA
DALESM	DALESMAN
DALHOUS	DALHOUSIE
DANC	DANCER
DANC	DANCING
DAN	DANEMARK
DANGER	DANGEROUS
DAN	DANISH
DANSV	DANSVILLE
DAO	DAOISM
DARKN	DARKNESS
DARTM	DARTMOUTH
DATAUPP	DATAUPPER
DATAB	DATABOOK
DATAF	DATAFILE
DATAM	DATAMAIL
DATAMAT	DATAMATIC
DATAMAT	DATAMATION
DATAPT	DATAPOINT
DATAREV	DATAREVIEW
DATASYST	DATASYSTEM
DATEB	DATEBOOK
DAYT	DAYTON
DAYT BEACH	DAYTONA BEACH
DAYW	DAYWORKS
DEACTIV	DEACTIVA
DEAF	DEAF
DEAL	DEAL
DEBENT	DEBENTURE
DEBT	DEBTOR
DECANT	DECANTER
DEC	DECEMBER
DECENN	DECENNIAL
DECEPT	DECEPTION
DECERTIF	DECERTIFICATION
DECIM	DECIMAL
DECIS	DECISION
DECLAR	DECLARA
DECLASSIF	DECLASSIFIED
DECLIN	DECLINING
DECOMPOS	DECOMPOSITION
DECONTAM	DECONTAMINAT
DECOR	DECORATING
DECOR	DECORATION
DECOR	DECORATIVE
DECOR	DECORATOR
DECORP	DECORPORAT
DEDIC	DEDICATED
DEDUC	DEDUCTION
DEEP	DEEP
DEERBREED	DEERBREEDER
DEF	DEFENCE
DEF	DEFENDER
DEF	DEFENSE
DEFIC	DEFICIENCE
DEFIN	DEFIN
DEFRAY	DEFRAY
DEGENER	DEGENERATION
DEGRAD	DEGRADATION
DEL	DELAWARE
DELIC	DELICIOUS
DELIV	DELIVER
DEMINER	DEMINERALI
DEMOCR	DEMOCRA
DEN	DENMARK
DENOMINAT	DENOMINATOR
DENSIF	DENSIFICATION
DENSITOM	DENSITOMETER
DENT	DENTA
DENT	DENTIST
DENTOFAC	DENTOFACIAL
DENT	DENTURIST
DEP	DEPARTMENT
DEPART	DEPARTURE
DEPEND	DEPENDENT
DEPLET	DEPLETION
DEPLOY	DEPLOYMENT
DEPOS	DEPOSIT
DEPOS	DEPOSITOR
DEPOS	DEPOSITORY
DEPRECIAT	DEPRECIATION
DEPRESS	DEPRESS
DERBYS	DERBYSHIRE
DEREGUL	DEREGULATION
DEREL	DERELICT
DERIV	DERIVA
DERIV	DERIVE
DERMAT	DERMATITIS
DERMATOPATHOL	DERMATOPATHOLOGY
DERMATOPHARMACOL	DERMATOPHARMACOLOGY
DERMATOTOXIC	DERMATOTOXICOLOGY
DESALT	DESALT
DESCR	DESCRIB
DESCR	DESCRIPTION
DESCR	DESCRIPTOR
DESEGREG	DESEGREG
DES	DESIGN
DESIGNB	DESIGNBOOK
DESKB	DESKBOOK
DESKT	DESKTOP
DESTR	DESTRUCTION
DESTR	DESTRUCTOR
DETAIL	DETAILED
DETECT	DETECTION
DETEN	DETENTION
DETERG	DETERGEN
DETERM	DETERMINATION
DETOXIF	DETOXIFICAT
DEV	DEVELOPMENT
DEVIAT	DEVIATION
DEVON	DEVONSHIRE
DEVOT	DEVOTION
DEVOT	DEVOTIONAL
DECAD	DECAD
DIABET	DIABETIC
DIACYCLGLYC	DIACYCLGLYCEROLS
DIAET	DIAETETI
DIAGR	DIAGRAM
DIALECT	DIALECTICAL
DIALECTR	DIALECTRIC
DIAM	DIAMOND
DIANET	DIANETIC
DIATH	DIATHESIS
DICT	DICTIONARY
DIDACT	DIDACTICS
DIDAKOM	DIDAKOMETRY
DIELECTR	DIELECTRIC
DIELECTROPHOR	DIELECTROPHORE
DIET	DIETARY
DIETIT	DIETITIAN
DIFFER	DIFFERENCE
DIFFIC	DIFFICULTY
DIFFR	DIFFRACTION
DIFFRACTOM	DIFFRACTOMETER
DIG	DIGEST
DIHYDROXYVITAM	DIHYDROXYVITAMIN
DILIG	DILIGENCE
DIMENS	DIMENSION
DINN	DINNER
DINOFLAG	DINOFLAGELLAT
DINOSAUR	DINOSAUR
DIOC	DIOCESAN
DIPL	DIPLOMACY
DIPTER	DIPTERIST
DIR	DIRECTED
DIR	DIRECTI
DIR	DIRECTOR
DISABIL	DISABILIT
DISABL	DISABLED
DISACCH	DISACCHARIDE
DISADV	DISADVANTAGE
DISARM	DISARM
DISBURSE	DISBURSEMENT
DISCERN	DISCERNING
DISCH	DISCHARGE
DISCIPL	DISCIPLINEE
DISCIPLESH	DISCIPLESHIP
DISCIP	DISCIPLINE
DISCL	DISCLOSURE
DISCOGR	DISCOGRAPHY
DISCONTIN	DISCONTINUED
DISCOUNT	DISCOUNT
DISCOV	DISCOVER
DISCRET	DISCRET
DISCUSS	DISCUSSION
DIS	DISEASE
DISINFECT	DISINFECT
DISMISS	DISMISSAL
DISORD	DISORDER
DISPAR	DISPARITION
DISPENS	DISPENS
DISPETCHER	DISPETCHERIZ
DISPLAC	DISPLACEMENT
DISP	DISPLAY
DISPON	DISPONIB
DISPOS	DISPOSAL
DISPOS	DISPOSIT
DISRUPT	DISRUPTION
DISSEM	DISSEMINATION
DISSENT	DISSENTING
DISS	DISSERTA
DISTILL	DISTILL
DISTINCT	DISTINCTION
DISTING	DISTINGUISH
DC	DISTRICT OF COLUMBIA
DIST	DISTRICT
DISTURB	DISTURBANCE
DISTURB	DISTURBED
DIURET	DIURETIC
DIVERS	DIVERS
DIVERSIF	DIVERSIFICATION
DIVEST	DIVEST
DIVID	DIVID
DIVIN	DIVINITY
DIV	DIVIS
DOCKL	DOCKLANDS
DR	DOCTOR
DOLLARW	DOLLARWISE
DOMEST	DOMESTICATION
DOMINIC	DOMINICAN
DOM	DOMINION
DOODL	DOODL
DORK	DORKING
DOUBT	DOUBT
DOWNL	DOWNLAND
DOWNSCAL	DOWNSCAL
DOWNSTR	DOWNSTREAM
DOWNT	DOWNTOWN
DOZEN	DOZENAL
DRAFT	DRAFT
DRAIN	DRAINER
DRAM	DRAMATI
DRAMATURG	DRAMATURG
DRAUGHT	DRAUGHT
DRAUGHT	DRAUGHTING
DRAVID	DRAVIDIC
DRAW	DRAW
DRAYT	DRAYTON
DREAM	DREAMER
DREAMWEAV	DREAMWEAVER
DREDG	DREDGER
DREDG	DREDGING
DRESS	DRESSING
DRIFT	DRIFTING
DRILL	DRILLED
DRILL	DRILLING
DRINK	DRINK
DRIV	DRIVER
DRIV	DRIVING
DROUGHTSTRICK	DROUGHTSTRICKEN
DRUG	DRUGGIST
DRUGTHER	DRUGTHERAPY
DRUMHELL	DRUMHELLER
DRYCLEAN	DRYCLEANER
DRY	DRYER
DRY	DRYING
DUMBART	DUMBARTON
DUMFRIES	DUMFRIESSHIRE
DUMP	DUMPING
DUNED	DUNEDIN
DURAB	DURABILITY
DURAT	DURATION
DURB	DURBAN
DURH	DURHAM
DUR	DURING
DIVERSIF	DVERSIF
DWELL	DWELLING
DYE	DYE
DYEST	DYESTUFF
DYN	DYNAMIC
DYNAM	DYNAMIC
DYSENT	DYSENTERY
DYSFUNCT	DYSFUNCTION
DYSMORPHOL	DYSMORPHOLOGY
EARN	EARNER
EARN	EARNING
EARTHQ	EARTHQUAKE
EAST	EASTERN
EASTL	EASTLAND
EAT	EATING
ECCLES	ECCLESIAST
ECHOCARDIOGR	ECHOCARDIOGRAPHY
ECLECT	ECLECTIC
ECLIPS	ECLIPSING
ECOBIOL	ECOBIOLOGY
ECOGEOGR	ECOGEOGRAPHY
ECOHYDROL	ECOHYDROLOGY
ECOL	ECOLOGY
ECOMATER	ECOMATERIA
ECON	ECONOMY
ECOPHYSIOL	ECOPHYSIOLOGY
ECOSYST	ECOSYSTEM
ECOTEXT	ECOTEXTIL
ECOTOXICOL	ECOTOXICOLOGY
ECOTUR	ECOTURISM
ECUAT	ECUATOR
ECUM	ECUMENICAL
EDINB	EDINBURGH
ED	EDIT
EDITOR	EDITORIAL
EDMONT	EDMONTON
EDUC	EDUCATION
EDUCOL	EDUCOLOGY
EDW	EDWARD
EFF	EFFECT
EFFIC	EFFICIENCY
EFFL	EFFLUENT
EGANV	EGANVILLE
EGLINT	EGLINTON
EGREG	EGREGIOUS
EGYPT	EGYPTIAN
EGYPTOL	EGYPTOLOGY
EINDH	EINDHOVEN
EJECT	EJECTOR
ELAST	ELASTICITY
ELASTOHYDRODYN	ELASTOHYDRODYNAMI
ELB	ELBOW
ELDER	ELDERLY
ELECT	ELECTED
ELECT	ELECTIVE
ELECT	ELECTORAL
ELECTR	ELECTRIC
ELECTROACT	ELECTROACTIV
ELECTROANAL	ELECTROANALY
ELECTROANESTH	ELECTROANESTHES
ELECTROCARDIOGR	ELECTROCARDIOGRAPHY
ELECTROCARDIOL	ELECTROCARDIOLOGY
ELECTROCHEM	ELECTROCHEMISTRYC
ELECTROCHEMOTHER	ELECTROCHEMOTHERAP
ELECTROCHROMATOGR	ELECTROCHROMATOGRAPHY
ELECTROCOMPON	ELECTROCOMPONENT
ELECTRODEPOS	ELECTRODEPOSITION
ELECTRODEPOS	ELECTRODEPOSITOR
ELECTRODIAGN	ELECTRODIAGNOSTIC
ELECTRODYN	ELECTRODYNAMICS
ELECTROENCEPHALOGR	ELECTROENCEPHALOGRAPHY
ELECTROENERG	ELECTROENERGET
ELECTROEXPLOS	ELECTROEXPLOSIVE
ELECTROGENETHER	ELECTROGENETHERAP
ELECTROKINET	ELECTROKINETI
ELECTROL	ELECTROLOGY
ELECTROMAGN	ELECTROMAGNETISM
ELECTROMED	ELECTROMEDIC
ELECTROMETALL	ELECTROMETALLURGY
ELECTROMIGR	ELECTROMIGRATI
ELECTROMYOGR	ELECTROMYOGRAPHY
ELECTRON	ELECTRONICSC
ELECTRONMICROSC	ELECTRONMICROSCOP
ELECTROORG	ELECTROORGANI
ELECTROPHOR	ELECTROPHORE
ELECTROPHYSIOL	ELECTROPHYSIOLOGY
ELECTROPLAT	ELECTROPLAT
ELECTROREFIN	ELECTROREFINING
ELECTROST	ELECTROSTATIC
ELECTROTECH	ELECTROTECHNIS
ELECTROTECHNOL	ELECTROTECHNOLOGY
ELECTROTHER	ELECTROTHERAP
ELECTROTHERM	ELECTROTHERMAL
ELEM	ELEMENT
ELIG	ELIGIBLE
ELIMIN	ELIMINATION
ELIZAB	ELIZABETH
ELIZAB	ELIZABETHAN
ELMB	ELMBRIDGE
ELMW	ELMWOOD
ELUS	ELUSIVE
ENGJ	ENGINEERING JOURNAL
ENGINEER	ENGINEERING
EMANCIP	EMANCIPATION
EMBED	EMBEDED
EMBL	EMBLEMATIC
EMBRAC	EMBRACING
EMERG	EMERGENCY
EMERG	EMERGING
EMERYV	EMERYVILLE
EMIR	EMIRAT
EMISS	EMISSION
EMIT	EMIT
EMOL	EMOLUMENT
EMOT	EMOTION
EMPATH	EMPATHIC
EMPHAS	EMPHASIS
EMP	EMPIRE
EMPIR	EMPIRICAL
EMPLOYAB	EMPLOYABILITY
EMPLOY	EMPLOYED
EMPL	EMPLOYEE
EMPL	EMPLOYER
EMPLOY	EMPLOYMENT
EMPOWER	EMPOWER
EMPOWER	EMPOWERING
ENACTM	ENACTMENT
ENAMEL	ENAMELIST
ENAMEL	ENAMELLING
ENCAMP	ENCAMP
ENCEPH	ENCEPH
ENCLOS	ENCLOSURE
ENCOUNT	ENCOUNT
ENCYCL	ENCYCLOP
ENDANGER	ENDANGERED
ENDEAV	ENDEAVOUR
END	ENDED
END	ENDING
ENDOCR	ENDOCRINE
ENDOCRINOL	ENDOCRINOLOGY
ENDOCRINOPAT	ENDOCRINOPATHY
ENDOCYTOBIOL	ENDOCYTOBIOLOGY
ENDOD	ENDODONTIC
ENDOMETR	ENDOMETRIOSIS
ENDOSC	ENDOSCOP
ENDOW	ENDOWMENT
ENERG	ENERGISTIC
ENERGOCHEM	ENERGOCHEMIC
ENFORC	ENFORCEMENT
ENFORC	ENFORCER
ENFORC	ENFORCING
ENGAGEM	ENGAGEMENT
ENG	ENGINEERING
ENGL	ENGLAND
ENGL	ENGLISH
ENGRAV	ENGRAVER
ENGRAV	ENGRAVING
ENHANC	ENHANCE
ENLARG	ENLARGEMENT
ENLIGHT	ENLIGHTENED
ENLIGHT	ENLIGHTENMENT
ENNEAGR	ENNEAGRAM
ENQ	ENQUIRY
ENRICH	ENRICHMENT
ENROLL	ENROLLED
ENROLL	ENROLLMENT
ENROL	ENROLMENT
ENTER	ENTERAL
ENTER	ENTERING
ENTEROBACT	ENTEROBACTERI
ENTEROS	ENTEROSTOMAL
ENTERP	ENTERPRENEUR
ENTERP	ENTERPRISE
ENTERTAIN	ENTERTAIN
ENTHUS	ENTHUSIAST
ENTOMOPATHOG	ENTOMOPATHOGEN
ENTR	ENTRANCE
ENTROPH	ENTROPHICATION
ENTRUST	ENTRUST
ENUMER	ENUMERATION
ENUMER	ENUMERATIVE
ENVIROANAL	ENVIROANALY
ENVIRON	ENVIRONMENT
ENVIS	ENVISION
ENWISDOMIZ	ENWISDOMIZATION
ENZYM	ENZYM
ENZYMOCHEM	ENZYMOCHEM
EPHEMER	EPHEMER
EPICUR	EPICUR
EPILEPTOG	EPILEPTOGEN
EPIOPT	EPIOPTIC
EPISCOP	EPISCOPAL
EPITHEL	EPITHELIAL
EPONYM	EPONYMIST
EQUAL	EQUAL
EQU	EQUATION
EQUAT	EQUATOR
EQUEST	EQUESTRIAN
EQUILIB	EQUILIBRIUM
EQUIP	EQUIPMENT
EQUIV	EQUIVALEN
ERAD	ERADICATION
ERGOD	ERGODIC
ERGOL	ERGOLOGY
EROS	EROSION
EROT	EROTIC
ERUD	ERUDIT
ERUPT	ERUPTION
ERYTHROP	ERYTHROPOIESIS
ESCALAT	ESCALAT
ESCARPM	ESCARPMENT
ESPION	ESPIONAGE
ESSENT	ESSENTIAL
ESTIM	ESTIMATATION
ESTUAR	ESTUARINE
ETCH	ETCHING
ETHIOP	ETHIOPI
ETHN	ETHNI
ETHNOARCHAEOL	ETHNOARCHAEOLOGY
ETHNOASTRON	ETHNOASTRONOM
ETHNOBIOL	ETHNOBIOLOGY
ETHNOBOT	ETHNOBOTAN
ETHNOCULT	ETHNOCULTUR
ETHNOHIST	ETHNOHISTORY
ETHNOPHARMACOL	ETHNOPHARMACOLOGY
ETHOL	ETHOLOGIST
ETHOL	ETHOLOGY
ETHYL	ETHYLENE
EUGEN	EUGENIC
EUKARYOT	EUKARYOTIC
EURACC	EURACCOUNT
EUROANAL	EUROANALYSIS
EUROCURR	EUROCURRENCY
EUROPHYS	EUROPHYSICS
EUROPLAST	EUROPLASTIC
EUROSC	EUROSCOPE
EUROTECH	EUROTECHNISC
EVAC	EVACUEE
EVAL	EVALUATION
EVANST	EVANSTON
EVENT	EVENTOR
EVERGR	EVERGREEN
EVID	EVIDENCE
EVOL	EVOLUTION
EVOL	EVOLVING
EXAM	EXAMINATION
EXAM	EXAMINER
EX	EXAMPLE
EXCAV	EXCAVATION
EXCEED	EXCEED
EXCELL	EXCELL
EXCH	EXCHANGE
EXCIT	EXCIT
EXCLUD	EXCLUDE
EXEC	EXECUTION
EXEG	EXEGESIS
EXEMPT	EXEMPTION
EXERC	EXERCICE
EXHIB	EXHIBITION
EXHUM	EXHUM
EXISTENT	EXISTENTIAL
EXOBIOL	EXOBIOLOGY
EXOG	EXOGENESIS
EXOT	EXOTI
EXPAND	EXPAND
EXPECT	EXPECTED
EXPED	EXPEDITION
EXPEND	EXPENDITURE
EXPENS	EXPENS
EXP	EXPERIEN
EXP	EXPERIMENT
EXPLAIN	EXPLAIN
EXPLAN	EXPLANATION
EXPLOD	EXPLODING
EXPLOR	EXPLORING
EXPLOS	EXPLOSION
EXPON	EXPONENT
EXPORT	EXPORT
EXPO	EXPOSITION
EXPR	EXPRESSION
EXPRESSLETT	EXPRESSLETTER
EXT	EXTENDED
EXT	EXTENDER
EXT	EXTENSION
EXTERM	EXTERMINAT
EXTERN	EXTERNAL
EXTRALICENT	EXTRALICENTIATE
EXTRACELL	EXTRACELLULAR
EXTRACORPOR	EXTRACORPOREAL
EXTR	EXTRACT
EXTRAMUR	EXTRAMUR
EXTRAPULM	EXTRAPULMONAR
EXTRATERR	EXTRATERRESTR
EXTREM	EXTREM
EXTRUD	EXTRUDING
EXTRUS	EXTRUS
FABR	FABRICATION
FACIL	FACILITY
FACSIM	FACSIMILE
FACTB	FACTBOOK
FACTB	FACTBOOK
FACTOR	FACTORING
FACT	FACTORY
FAC	FACULTY
FAIL	FAIL
FAIL	FAILING
FAIL	FAILURE
FAIRFLD	FAIRFIELD
FAIRW	FAIRWAY
FAITHF	FAITHFULLY
FALKL	FALKLAND
FALSIF	FALSIFICATION
FAM	FAMIL
FARMERSV	FARMERSVILLE
FARMINGD	FARMINGDALE
FARML	FARMLAND
FARMST	FARMSTEAD
FARMW	FARMWORK
FARNB	FARNBOROUGH
FASC	FASCICUL
FASH	FASHION
FASTEN	FASTEN
FASTMOV	FASTMOVING
FATAL	FATALITY
FATHER	FATHER
FAT	FATTY
FAVOR	FAVOR
FAYETTEV	FAYETTEVILLE
FEATHER	FEATHERED
FEATUR	FEATURE
FEBR	FEBRUARY
FED	FEDERATION
FEEB	FEEBLE
FEED	FEED
FEEDINGST	FEEDINGSTUFF
FEEL	FEEL
FELLOWSH	FELLOWSHIP
FENC	FENCING
FENL	FENLAND
FERMENT	FERMENTA
FERROCEM	FERROCEMENT
FERROELECTR	FERROELECTRI
FERROMAGN	FERROMAGNETI
FERR	FERROUS
FESTIV	FESTIVAL
FIBROS	FIBROSIS
FIDEL	FIDELITY
FIELDM	FIELDMAN
FIELDSP	FIELDSPORT
FIGHT	FIGHT
FILEB	FILEBOOK
FIL	FILIAL
FILL	FILL
FILMFESTIV	FILMFESTIVAL
FILMMAK	FILMMAK
FILMSTR	FILMSTRIP
FILTER	FILTERING
FILTR	FILTRAT
FINAL	FINAL
FIND	FINDING
FINGERPR	FINGERPRINT
FINISH	FINISH
FINISH	FINISHER
FINISH	FINISHES
FINISH	FINISHING
FINKSBG	FINKSBURG
FINL	FINLAND
FINN	FINNI
FINNL	FINNLAND
FIORDL	FIORDLAND
FIREF	FIREFIGHTER
FIREF	FIREFIGHTING
FIREHOUS	FIREHOUS
FIREPL	FIREPLACE
