Authors	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	Link	Affiliations	Authors with affiliations	Abstract	Author Keywords	Index Keywords	Molecular Sequence Numbers	Chemicals/CAS	Tradenames	Manufacturers	Funding Details	References	Correspondence Address	Editors	Sponsors	Publisher	Conference name	Conference date	Conference location	Conference code	ISSN	ISBN	CODEN	DOI	PubMed ID	Language of Original Document	Abbreviated Source Title	Document Type	Source
Dal Negro E., Alessandro B., Schulkins R.	Buenos Aires settlement control	2012	Tunnels and Tunnelling International		MAY		40	43			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874275514&partnerID=40&md5=f9a53f8745fa5ab360198b0abb91de6d		Dal Negro, E.; Alessandro, B.; Schulkins, R.	The Arroyo Maldonado tunnel project in Buenos Aires, Argentina aims to prevent the floods that periodically inundate the surrounding area of the Rio de Plata river. Some 15km of tunnels are located in difficult urban areas with little overburden. Enrico Dal Negro, Alessandro Boscaro and Richard Schulkins of the Mapel Underground Technology Team explore the difficulties. The project involves the construction of two 7gm-diameter tunnels, with the function of catching and conveying rain water to Rio de Plata River. The client is Gobierno de Ia ciudad de Buenos Aires, with Geodata as designer and Ghella as the contractor. Several tests carried out, firstly in the laboratory using the raw materials received from Buenos Aires and later at the job-site, were useful in finding the most appropriate mix-design according to all the specific requests coming from the project, in terms of pumpability, volumetric stability, jellification and mechanical strength development.		flood control; rainwater; tunnel design; tunneling; Argentina; Buenos Aires [Argentina]; Rio de la Plata						(2005) (French National Tunnelling Association), Choosing Mechanised Tunnelling Techniques, , AFTES, Pans; (2005) Specification and Guidelines for the Use of Specialist Products for Mechanized Tunnelling (TBM) in Soft Ground and Hard Rock, , www.efnarc.org, EFNARC; Guglielmetti, V., Mahtab, A., Xu, S., (2007) Mechanized Tunneling in Urban Area, , Taylor & Francis, London; Linger, L., Cayrol, M., Vinci, L.B., TBM's Backfill Mortars - Overview - Introduction to Rheological Index; Pelizza, S., Peila, D., Bono, L., Dal Negro, E., Schulkins, R., Boscaro, A., Analysis of the performance of two component back-filling grout in tunnel boring machines operating under face pressure (2010) Proceedings of ITA-AITES World Tunnel Congress 2010: Tunnel Vision Towards 2020, , Vancouver, 14 20 May 2010; Thewes, M., Budach, C., Grouting of the annular gap in shield tunnelling - An important factor for minimization of settlements and production performance (2009) Proceedings of the ITA-AITES World Tunnel Congress 2009 , , Safe Tunnelling for the City and Environment, Budapest, 23-28 May 2009	Dal Negro, E.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Morrison R.	Wall lining and luminance tests	2012	Tunnels and Tunnelling International		MAY		71	74			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874258851&partnerID=40&md5=8687b05fc82081b694e03333b7644cae		Morrison, R.	The lighting installation for the Eastern Busway Two Buranda to East Brisbane, Logan Tunnel was commissioned on 13 July 2011. Like all modern transport tunnels, the Logan Tunnel was clad with interior wall panels, the characteristics of which were carefully specified in the design documents. The application of the reflective panels is intended to provide a higher degree of ambience in the tunnel, improving the visual performance of drivers. With reflective walls the comfort level of the driver is improved, as the dark tunneling effect is reduced. The measurement tool used would be the same luminance meter that was being used to test and commission the carriageway luminance values. Measurements were taken for luminance on barrier surface adjacent to vehicle, carriageway in front of vehicle, bright spots on wall adjacent to vehicle and the headlamps in low and high beam. The vehicle was then moved 10m closer to observer position and the measurements taken again.		light; luminescence; tunnel design; tunneling; Australia; Brisbane; Queensland						Reflection Properties of New Zealand Road Surfaces for Road Lighting Design, , March 2010 -M. Jacket, W. Frith	Morrison, R.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Jones M.	Power up the future	2012	Tunnels and Tunnelling International		MAY		76	79			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874241189&partnerID=40&md5=f19bbf05d39b51c87ef55f6dee31d758		Jones, M.	UK gas and electric power network operator National Grid is engaged in a major renewal program to ensure power supplies for the future. One aspect is to install high-voltage cables underground to renew the grid in major urban areas, starting with London. The site is on a natural slope. Preparation of the site included some demolition and the creation of a suitable level surface by retained backfilling, and so creating enough storage space. The initial London Power Tunnels project has several strategic purposes for National Grid. Firstly it will renew the aging main electricity supply routes in the capital, replacing cables of old design that are now approaching the end of their life. Secondly it will provide for the continuously changing power needs of the conurbation. Heavy lifting plays a key role in the set up and operation of the Fade Road and other drive shaft sites of the project.		electricity generation; electricity supply; tunnel design; tunneling; urban area; England; London [England]; United Kingdom							Jones, M.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Robinson B.	Chile mine rescue	2012	Tunnels and Tunnelling International		MAY		46	49			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874283831&partnerID=40&md5=e5b3a3d0e7e5d4cc80d132fbf18aeee4		Robinson, B.	The Atacama region in South America is a very large mining area producing great volumes of copper and gold, which together are the largest GDP providers in Chile. Labor comes from not only Chile but also the neighboring countries. The miners are drawn to the higher paying locations which are also the most dangerous. The scene of the 2010 accident was the San Jose mine in northern Chile. It started life in 1889 with the existing headgear over the access shaft having been in place since around 1910. The ropes for this do not go down the full depth of the mine, so were no good for the rescue from the deep levels. The 8.5km long ramp used to access the mine face had completely failed. It is believed that over mining of the ramp structure itself led to the collapse. In an effort to make the mine more productive, the operator had re-mined the ramps support structure for any gold or copper left in it.		accident; collapse; mine; support structure; Atacama; Chile							Robinson, B.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Ramoni M., Anagnostou G.	TBMs in squeezing ground conditions	2012	Tunnels and Tunnelling International		APR		14	18			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874174738&partnerID=40&md5=4d3823fbd554fbb1dfb25908f1fa60e2	Basler and Hofmann, Switzerland; ETH Zurich, Switzerland	Ramoni, M., Basler and Hofmann, Switzerland; Anagnostou, G., ETH Zurich, Switzerland	TBM tunneling in squeezing ground represents a real challenge for all of the parties involved. It is well known from tunneling experience that even small convergences of 100-200mm, which would not be problematic in conventional tunneling, may lead to major problems both in the machine and in the back-up area. The computational model was kept deliberately simple, taking into account axial symmetry and the Mohr-Coulomb yield criterion. Concerning the risk of shield jamming, it is essential to have information on frictional force when designing a new TBM and when assessing the feasibility of a proposed TBM drive. The suitability of the nomograms for a quick and cost-effective preliminary assessment of a TBM drive in squeezing ground will be shown by means of an application example concerning a common situation which confronts the tunneling engineer on a regular basis in the planning phase.		Coulomb criterion; ground conditions; Mohr theory; numerical model; TBM; tunneling						Anagnostou, G., Continuous tunnel excavation in a poro-elastoplastic medium (2007) Tenth International Symposium on Numerical Models in Geomecnanics, pp. 183-188. , NUMOG X, Rhodes, Taylor & Francis Group London; Nguyen Minn, D., Corbetta, F., Nouvelle méthodes de calcul des tunnels revêtus incluant l'effet du front de taille (1991) 7th Congress of the International Society for Rock Mechanics (ISRM), 2, pp. 1335-1338. , Aachen, A.A.Balkema Rotterdam Brookfield; Ramoni, M., Anagnostou, G., Thrust force requirements for TBMs in squeezing ground (2010) Tunnelling and Underground Space Technology, 25 (4), pp. 433-455; Ramoni, M., Anagnostou, G., Tunnel boring machines under squeezing conditions (2010) Tunnelling and Underground Space Technology, 25 (2), pp. 139-157; Ramoni, M., Anagnostou, G., (2011) Design Aids for the Planning of TBM Drives in Squeezing Ground. Research Project FGU 2007/005 of the Swiss Federal Roads Office (FEDRO), , Report 1341, Swiss Association of Road and Transportation Experts VSS Zurich; Ramoni, M., Anagnostou, G., The effect of consolidation on TBM shield loading in waterbearing squeezing ground (2011) Rock Mechanics and Rock Engineering, 44 (1), pp. 63-83; Ramoni, M., Anagnostou, G., The interaction between TBM, ground and tunnel support in TBM tunnelling through squeezing ground (2011) Rock Mechanics and Rock Engineering, 44 (1), pp. 37-61; Ramoni, M., Lavdas, N., Anagnostou, G., Squeezing loading of segmental linings and the effect of backfilling (2011) Tunnelling and Underground Space Technology, 26 (6), pp. 692-717	Ramoni, M.; Basler and HofmannSwitzerland								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Chui E., Lee P., Mackean R.	Rock cavern design on the West Island Line	2012	Tunnels and Tunnelling International		APR		50	54			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874178016&partnerID=40&md5=d42c271e3514bf4738bcc2f3000ca7f6		Chui, E.; Lee, P.; Mackean, R.	The West Island line (WIL) will extend the Mass Transit Railway corporation (MTIRC) Island line (ISL) from the existing Sheung Wan Station to the western district of Hong Kong Island, and add approximately 3.3km of underground route to the existing line. The two WIL caverns will be the first station caverns built by MTRC for over 25 years and will be the first caverns of these spans to be built beneath Hong Kong's densely urbanized areas. There was little local precedent to guide development of the design concepts, which also had to be developed under close scrutiny from Buildings Department and the Geotechnical Engineering Office. Experience with cavern engineering from overseas was combined with knowledge of local practice and design standards to produce an approved reference design. The cavern will be excavated using drill and blast methods with temporary support to enhance the intrinsic stability state in order to provide adequate stability reserve at all stages of construction.		cavern; drill and blast; railway transport; tunnel design; China; Hong Kong; Hong Kong Island						Bandis, S.C., Rock characterization for tunnelling (1997) A Rock Engineer's Perspective, Felsbau, 15 (3); Bandis, S.C., Sharp, J.C., Mackean, R.A., Bacasis, E.A., Explicit characterisation and interactive analysis for engineering design of rock caverns (2011) Proceedings of the Hong Kong Institution of Engineers and Hong Kong Institute of Planners Joint Conference on Planning and Development of Underground Space, , in-print; Barton, N., (1998) NMT Support Concepts for Tunnels in Weak Rocks, , Tunnels and Metropolises, Negro Jr & Ferreira (eds.), Balkema, Rotterdam; Barton, N., Bandis, S.C., Rock joint model for analyses of geological discontinua (1987) Proceedings of the 2nd International Conference on Constitutive Laws for Engineering Materials: Theory and Applications, pp. 993-1002. , Tuscon, Arizona; Barton, N., Bandis, C.S., Predictive capabilities of the JRC-JCS model in engineering practice (1990) Proceedings of the Internationa Conference on Rock Joints, pp. 603-610. , Loen, Norway; Barton, N., Uen, R., Lunde, J., Engineering classification of rock masses for the design of tunnel support (1974) Rock Mechanics, 6 (4); (1992) Guide to Cavem Engineering, , GEO, Geotechnical Engineering Office, Geoguide 4, Geotechnical Engineering Office, Civil Engineering Department, Hong Kong Government; Grimstadt, E., Barton, N., Updating the Q-system fa NMT (1993) Proceedings of the International Symposium on Sprayed Concrete, , Modem Use of Wet Mix Sprayed Concrete fa Underground Support, Fagernes, Norwegian Concrete Association, Osb; (1997) Design Standards Manual Section 4, , MTRC, Civil Engineering (Rev. A3), MTR Corporation, Hong Kong; (2008) Ground Engineering Report, WIL Consultancy Agreement No. C703, , MTRC, MTR Corporation, Hong Kong; (2008) Cavern Engineering Report, WIL Consultancy Agreement No. C703, , MTRC, MTR Corporation, Hong Kong; Sharp, J.C., Design of maja caverns in granitic rocks based on precedent practice in Hong Kong and elsewhere (1989) Proceedings of the Seminar on Rock Cavern, pp. 247-270. , Hong Kong, IMM	Chui, E.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Conacher A.	Crossrail countdown	2012	Tunnels and Tunnelling International		APR		26	28			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874142282&partnerID=40&md5=47b65d520f7c6d9020318d4ea43003c5		Conacher, A.	The Herrenknecht TBM set to execute the first drive for the Crossrail project is approximately 85 per cent assembled says Derek Whelan, BFK shift manager. The cutterhead itself is about 99 per cent complete. The company is on target to kick off on March 21 with no delays expected. The BFK JV is supplying its own segments for the western tunnels at a new purpose-built factory at Old Oak Common in west London. The factory will be replaced by a major Crossrail depot upon an end to production in spring 2013. Segments are in a seven plus key arrangement. They are tapered, and moulds color coded with red moulds producing right segments and blue for left. An internal micrometer is used to check the width of moulds and depths are checked by vernier scale. Segment width and depth is also checked by vernier.									Conacher, A.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Jones M.	Primary risk reduction	2012	Tunnels and Tunnelling International		APR		42	44			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874135437&partnerID=40&md5=fce80a207ec282c3d6023bc3bf65413e		Jones, M.	Average expenditure on site investigation (SI) for underground construction it has been reported has reduced to around one per cent of project costs, whereas the expenditure on site instrumentation and monitoring for a project in progress, particular in urban areas, has increased. This obviously reflects concerns about the consequences of third-party damage cause by settlement, but appropriate investment in information collection before final project plans are made will reduce project risk, including that of third party damage. In any case, some degree of site investigation will be needed to select appropriate sites for monitoring instrumentation. For their part, exponents of site investigation have adopted new technologies aimed at minimizing the time and cost involved in site investigation, as well as improving accuracy. For many observers site investigation means boreholes and their sampling and instrumentation, as described in the next article, but there are many approaches that can gain valuable information.		geotechnical survey; ground settlement; instrumentation; risk assessment; site investigation; underground construction						(2003) The Joint Code of Practice for Risk Management of Tunnel Works in the UK, , British Tunnelling Society (with the Association of British Insurers). British Tunnelling Society, London; (1964) Channel Tunnel Site Investigation (Film), , Halcrow Group; (2000) Avoiding Danger from Underground Services, , Health and Safety Executive (HSE). HSE Books, UK; (1984) Geotechnical Site Investigations for Underground Projects, , United States Defense Nuclear Agency, US National Committee on Tunneling Technology, et a National Academies; Ozsan, A., Karakus, M., (2006) 'Site Investigations and Convergence Measurement for a Twin Metro Tunnel Driven in Ankara Clay, , Turkey, IAEG paper 504, The Geological Society, London; Parker, H.W., (1996) Geotechnical Investigations, , Chapter 4 of Tunnel Engineering Handbook, 2nd Edition, edited by Kuesel & King, Chapman & Hall, New York, 1996; Parker, H.W., Planning and Site Investigation in Tunnelling, , International Tunnelling Association (ITA/AITES) in 1st Brazilian Tunnelling & Underground Structures Congress (South American Tunnelling); Parkinson, G., Ekes, C., Ground penetrating radar evaluation of concrete tunnel linings' (2008) 12th Lntl Conf on Ground Penetrating Radar, , Birmingham, UK, 16-19 June	Jones, M.								0041414X		TTINF			English	Tunn. Tunn. Int.	Review	Scopus
Ukens K., Young J.	The new face of caterpillar tunneling	2012	Tunnels and Tunnelling International		APR		20	22			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874148761&partnerID=40&md5=abbf33a29c0e42f7d6522133a980a91d	Mechanical Engineering, University of Applied Science, Luebeck, Germany	Ukens, K., Mechanical Engineering, University of Applied Science, Luebeck, Germany; Young, J., Mechanical Engineering, University of Applied Science, Luebeck, Germany	Kiaus Ukens graduated with a diploma in mechanical engineering from University of Applied Science in Luebeck, Germany. His career started in France with Liebherr in designing and testing fabrications for mining excavators after two years with the German Navy in the Baltic Sea. The name Lovat has been a strong name in the tunneling world for nearly 40 years and has tunneled more than 2,200km in 25 countries on six continents. At the same time Caterpillar is a Fortune 50 company with a globally recognizable brand, which has been a global market leader in many industries including construction for the last 87 years. The decision was in part driven from our global branding team who has the responsibility of protecting the Caterpillar brand worldwide but also to show the Caterpillar investment and commitment to construction both above and underground.									Ukens, K.; Mechanical Engineering, University of Applied Science, Luebeck, Germany								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Mylius A.	Supporting Victoria	2012	Tunnels and Tunnelling International		APR		35	38			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874160977&partnerID=40&md5=a2c2fd4e605c0d9ebff66d8a2f18dfdd	Mott MacDonald, United Kingdom	Mylius, A., Mott MacDonald, United Kingdom	The UK's first use of jet grouting in conjunction with shallow sprayed concrete lined tunneling and pioneering use of building information modeling are among the many innovations on London Underground's ultra-challenging Victoria Station Upgrade program. Jet grouting involves inserting a hollow drill bit like a hypodermic needle into the ground and injecting cement grout at pressure so that it mixes with surrounding material. Victoria Station Upgrade is being delivered by joint venture contractor Taylor Woodrow-BAM Nutgall (TWBN) under a design and construct contract, with shared gain/pain. Consultant Moti MacDonald developed LU's concept design, helped steer the project through the statutory processes and is now working as the designer for TWBN. Construction is taking place smack in the middle of one of the UK capital's busiest transport interchanges. The square cross section achieved using hand mining also provides the same passenger capacity as a cylindrical tunnel but with a saving on width. Frames will be installed at 650mm centers.		grouting; metro system; mining; tunnel lining; tunneling; United Kingdom							Mylius, A.; Mott MacDonaldUnited Kingdom								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Stroud S.	Tunnelling induced settlements in London clay	2012	Tunnels and Tunnelling International		APR		30	33			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874173035&partnerID=40&md5=3937d11c36156789f587a502cddec181		Stroud, S.	The basic concept of effects of tunneling on buildings describes the transverse settlement trough caused. The trough conforms to a classical Gaussian equation that can be derived from a fundamental parameter in settlement assessments, the volume loss. A volume loss of around one per cent has been established in many cases in London clay. A number of factors control volume loss, but controlling the face pressure is an important element in controlling ground movement. Mixed ground conditions can- give rise to fluctuations in face pressure but London clay is more uniform and it is easier to keep face pressures broadly constant. Centrifuge modeling tests have examined the modification factor in some detail. Structures of different stiffness and tunnels at different depths and positions in relation to the structure were idealized. If extracting fluid from the annulus of the modeled tunnel accurately controls volume losses, Greenfield settlement troughs can be produced which, with the addition of a flexible building, are similar.		building; centrifugal model test; ground conditions; ground movement; ground settlement; London Clay; tunneling						Farrell, R.P., (2010) Tunnelling in Sands and the Response of Buildings, , Ph.D Thesis, University of Cambridge; Goh, K.H., (2010) Response of Ground and Buildings to Deep Excavations and Tunneling, , Ph.D thesis, University of Cambridge, UK; Franzius, J.N., Potts, D.M., Burland, J.B., The response of surface structures to tunnel construction (2006) Proceedings of the Institution of Civil Engineers: Geotechnical Engineering, 159 (1), pp. 3-17. , http://www.extenza-eps.com/TELF/doi/pdf/10.1680/geng.2006.159.1.3, DOI 10.1680/geng.2006.159.1.3; Mair, R.J., Tunnelling and geotechnics: New horizons. 46th Rankine Lecture (2008) Géotechnique, 58 (9), pp. 695-736; Mair, R.J., (2011) Tunnelling in Urban Areas and Effects on Infrastructure - Advances in Research and Practice, p. 33. , Muir Wood Lecture 2011 delivered at World Tunnelling Congress, Helsinki, May 2011, published by International Tunnelling and Underground Space Association, ISBN: 978-29700624-4-8; Nyren, R.J., Standing, J.R., Buriand, J.B., Surface displacements at St Jameses Park Greenfield reference site above twin tunnels through the London Clay (2001) Building Response to Tunnelling: Case Studies from the Jubilee Line Extension, 2, pp. 387-400. , London: case studies, Editor(s): Buriand, Standing, Jardine, CIRIA and Thomas Telford, 2002, ISBN:9780727730176; Potts, D.M., Addenbrooke, T.I., Structure's influence on tunnelling induced ground movements (1997) Proceedings of the Institution of Civil Engineers, Geotechnical Engineering, 125 (2), pp. 109-125. , Thomas Telford, London; Standing, J.R., Buriand, J.B., Unexpected tunnelling volume losses in the Westminster area, London (2006) Géotechnique, 56 (1), pp. 11-26; Standing, J.R., Selman, The response to tunnelling of existing tunnels at Waterloo and Westminster (2001) Building Response to Tunnelling: Case Studies from the Jubilee Line Extension, 2, pp. 509-546. , London: case studies, Ed'itor(s): Buriand, Standing, Jardine, CIRIA and Thomas Telford, 2002, ISBN:9780727730176; Viggiani, G., Standing, J.R., The treasury (2001) Building Response to Tunnelling: Case Studies from the Jubilee Line Extension, 2, pp. 40-432. , London: case studies, Editor(s): Buriand, Standing, Jardine, CIRIA and Thomas Tetford, 2002, ISBN:9780727730176; Wongsaroj, J., (2005) Three-dimensional Finite Element Analysis of Short and Long-term Ground Response to Open Face Tunnelling in Stiff Clay, , PhD Thesis, Cambridge University	Stroud, S.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Jones M.	Getting to the core of the matter	2012	Tunnels and Tunnelling International		APR		46	49			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874122340&partnerID=40&md5=cc9331f101241f9b6b12118256d1d557		Jones, M.	Trends in the design of modern site investigation rigs have generally kept up with trends in all, chiefly surface, rigs for more efficient, environmentally acceptable drives, better safety as regards operator protection, and the prevention of excessive load handling by the introduction of mechanical drill-pipe handling devices. The manufacturer's Diamec rigs dedicated to coring with diamond or tungsten carbide coring bits are in smaller units, facilitating their use underground, chiefly in the mining industry, and so lending themselves to portability. Atlas Copco also supplies larger reverse circulation rigs for deeper bores with sampling of the drill chippings. The same criteria of accurate recording of the coring horizon and orientation apply as far in-hole testing. Unless the ground consists of competent rock with few fractures, special equipment may be required to recover a useful core in soft or incompetent ground.		drill bit; drilling; drilling rig; ground conditions; site investigation							Jones, M.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Jones M.	Sustainability and safety the role of renewal	2012	Tunnels and Tunnelling International		MAR		49	52			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874121833&partnerID=40&md5=d0d88ad485bb9546df05e7259c29c251		Jones, M.	The planning of a tunneling project starts with the ground. In renovation work, the ground may play a part, but the main consideration is the state of the existing underground structure and whether it can be made to meet changing needs and modern standards. In many circumstances it may be tempting to solve such problems by relatively expensive, but readily available, new build. Indeed this may be the only adequate solution, but with experience and innovative thinking, the problems of deteriorating or inadequate tunnels can be resolved more economically. Sewers can be a major renovation need, especially in older urban areas where the asset may well be over a century old and brick-built. In more recently developed sewerage systems, often in tropical or sub-tropical climates, the high ambient temperatures can increase corrosion rates of a concrete fabric, necessitating lining with a less corrodible materials, such as glass-fiber-reinforced plastic (grp), or replacement.		corrosion; safety; sewer network; subterranean environment; sustainability; tunneling							Jones, M.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Ramoni M.	TBMs in squeezing ground conditions	2012	Tunnels and Tunnelling International		MAR		16	20			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874181186&partnerID=40&md5=a6d7dfde81be2cc4ee75c9ed45182361		Ramoni, M.	The expression squeezing ground is commonly used with reference to large deformations of the opening after excavation. If an attempt is made to hinder the ground deformations, a high ground pressure may develop upon the tunnel support endangering its structural integrity. The space available for ground deformations in TBM tunneling is very limited, due to the fixed geometry and the limited flexibility of the tunneling equipment (TBM and back-up). The performance of a TBM is the result of a complex interaction between the main system components ground, tunneling equipment (TBM and back-up) and tunnel support. The advance rate influences this interaction too and is not only a result of it. In order to resume TBM operation, the thrusting system must be able to cope with the forces acting upon the cutter head and the shield. In order to move the TBM forward, the effective available thrust force must be higher than the frictional resistance (static friction).		deformation; ground conditions; TBM; tunneling; underground construction						Bockli, O., (2008) Teilabschnitt Faido - Bisherige Erfahrungen Mit Dem TBM-Vortrieb, pp. 49-58. , FGU-Fachtagung für Untertagbau, Swiss Tunnel Congress 2008, Luzern, D0229, SIA Zürich; Flury, S., Priller, A., Gotthard base tunnel - Part-section Faido (2008) Tunnel, 2008 (4), pp. 47-51; Gehring, K.H., Design criteria for TBM's with respect to real rock pressure (1996) Tunnel Boring Machines - Trends in Design & Construction of Mechanized Tunnelling, International Lecture Series TBM Tunnelling Trends, pp. 43-53. , Hagenberg, A.A. Balkema Rotterdam Brookfield; (2003) Long Traffic Tunnels at Great Depth, , ITA, ITA Working group N° 17 Long tunnels at great depth, ITA Lausanne; Maidl, B., Schmid, L.R., Ritz, W., Herrenknecht, M., (2001) Tunnelbohrmaschinen Im Hartgestein, , Ernst & Sohn Verlag für Architektur und technische Wissenschaften GmbH Berlin; Ramoni, M., Anagnostou, G., Thrust force requirements for TBMs in squeezing ground (2010) Tunnelling and Underground Space Technology, 25 (4), pp. 433-455; Ramoni, M., Anagnostou, G., Tunnel boring machines under squeezing conditions (2010) Tunnelling and Underground Space Technology, 25 (2), pp. 139-157; Ramoni, M., Anagnostou, G., (2011) Design Aids for the Planning of TBM Drives in Squeezing Ground, , Research project FGU 2007/005 of the Swiss Federal Roads Office (FEDRO), Report 1341, Swiss Association of Road and Transportation Experts (VSS) Zurich; Ramoni, M., Anagnostou, G., The effect of consolidation on TBM shield loading in water-bearing squeezing ground (2011) Rock Mechanics and Rock Engineering, 44 (1), pp. 63-83; Ramoni, M., Anagnostou, G., The interaction between TBM, ground and tunnel support in TBM tunnelling through squeezing ground (2011) Rock Mechanics and Rock Engineering, 44 (1), pp. 37-61; Ramoni, M., Lavdas, N., Anagnostou, G., Squeezing loading of segmental linings and the effect of backfilling (2011) Tunnelling and Underground Space Technology, 26 (6), pp. 692-717; Wolff, W., Goliasch, R., Uberschneideinrichtungen auf Hartgesteins-TBM - Kritische Betrachtungen anhand der Erfahrungen vom Lotschberg Basistunnel (2003) Felsbau, 21 (5), pp. 147-154	Ramoni, M.								0041414X		TTINF			English	Tunn. Tunn. Int.	Review	Scopus
Owen R.	Auckland's big dig	2012	Tunnels and Tunnelling International		MAR		30	32			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874123576&partnerID=40&md5=17e6b7cc20e904bc4fe93d832359a485		Owen, R.	New Zealand is looking to join the tunneling big league with Auckland's Waterview Connection highway project, with a 14.1 m diameter TBM. Rhian Owen reports on the project that aims to ease congestion in the growing city. The Waterview Connection will provide the final link in Auckland's Western Ring Route rNRR). It will connect the Southwestern Motorway (5H20) at Mt Roskill to the Northwestern Motorway (SH1 6), providing a 48km motorway. In early 2009, the government announced it as one of the seven Roads of National Significance', because it will improve transport links and contribute to the country's economic wellbeing. In August 2011, NZTA announced that it had chosen its preferred bidder for the project construction. The project attracted a high level of interest both nationally and internationally and was awarded to a specialist team, known as the Well- Connected Alliance, to manage the design, construction and operation.		motorway; project design; TBM; tunnel design; tunneling; underground construction; urban area; Auckland; New Zealand; North Island							Owen, R.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
Walsh K.	Breaking ground on tunnel pledge	2012	Tunnels and Tunnelling International		MAR		34	36			http://www.scopus.com/inward/record.url?eid=2-s2.0-84874178206&partnerID=40&md5=15b3aa4b8140e9f0cf438b1e606e5a9d		Walsh, K.	A new government in New South Wales setting out to prove its commitment to transport infrastructure is pressing ahead at full speed with what will be Sydney's longest ever rail tunnel. Prior to the last Federal elections in 2010, the Australian Labor government announced that it had allocated AUD 2.1 bn (USD 2.2bn) in funding for a rail link between the suburbs of Parramatta and Epping in New South Wales. Australian Architect Hassell has taken on the task of producing the masterplan for the project while Aurecon Australia will be in charge of integrating the North West Rail Link with New South Wales' existing transport infrastructure. As the topography of the land between Cudgegong Road and Bella Vista is fairly flat, planners fear that the addition of a rail link will not only bisect the local community but also have a significant impact on the existing road traffic network and pedestrian footpaths.		railway construction; railway transport; transportation infrastructure; transportation planning; tunnel design; tunneling; underground construction; Australia; New South Wales; Sydney [New South Wales]							Walsh, K.								0041414X		TTINF			English	Tunn. Tunn. Int.	Article	Scopus
